scenario,duration(s),folder
6,43,21-05-22_13-56-29
7,171,21-05-22_13-56-29
8,50,21-05-22_13-56-29
9,40,21-05-22_13-56-29
10,75,21-05-22_13-56-29
11,103,21-05-22_13-56-29
12,40,21-05-22_13-56-29
13,58,21-05-22_13-56-29
14,40,21-05-22_13-56-29
15,148,21-05-22_13-56-29
16,59,21-05-22_13-56-29
17,40,21-05-22_13-56-29
18,54,21-05-22_13-56-29
19,111,21-05-22_13-56-29
20,40,21-05-22_13-56-29
21,41,21-05-22_13-56-29
22,53,21-05-22_13-56-29
23,63,21-05-22_13-56-29
24,42,21-05-22_13-56-29
25,41,21-05-22_13-56-29
26,40,21-05-22_13-56-29
27,158,21-05-22_13-56-29
28,60,21-05-22_13-56-29
29,40,21-05-22_13-56-29
30,137,21-05-22_13-56-29
31,41,21-05-22_13-56-29
32,115,21-05-22_13-56-29
33,41,21-05-22_13-56-29
34,41,21-05-22_13-56-29
35,55,21-05-22_13-56-29
36,99,21-05-22_13-56-29
37,47,21-05-22_13-56-29
38,145,21-05-22_13-56-29
39,125,21-05-22_13-56-29
40,42,21-05-22_13-56-29
41,40,21-05-22_13-56-29
42,40,21-05-22_13-56-29
1,40,20-05-22_17-10-08
2,40,20-05-22_17-10-08
3,71,20-05-22_17-10-08
4,40,20-05-22_17-10-08
5,40,20-05-22_17-10-08
6,112,20-05-22_17-10-08
7,42,20-05-22_17-10-08
8,86,20-05-22_17-10-08
9,58,20-05-22_17-10-08
10,105,20-05-22_17-10-08
11,88,20-05-22_17-10-08
12,76,20-05-22_17-10-08
13,113,20-05-22_17-10-08
14,71,20-05-22_17-10-08
1,40,24-06-22_23-17-11
1,42,30-07-22_20-43-29
1,40,29-06-22_17-18-58
2,91,29-06-22_17-18-58
3,63,29-06-22_17-18-58
4,40,29-06-22_17-18-58
5,71,29-06-22_17-18-58
6,67,29-06-22_17-18-58
7,41,29-06-22_17-18-58
8,61,29-06-22_17-18-58
9,40,29-06-22_17-18-58
10,42,29-06-22_17-18-58
11,51,29-06-22_17-18-58
12,40,29-06-22_17-18-58
13,41,29-06-22_17-18-58
14,73,29-06-22_17-18-58
15,41,29-06-22_17-18-58
16,44,29-06-22_17-18-58
17,40,29-06-22_17-18-58
18,99,29-06-22_17-18-58
19,53,29-06-22_17-18-58
20,40,29-06-22_17-18-58
21,40,29-06-22_17-18-58
22,49,29-06-22_17-18-58
23,40,29-06-22_17-18-58
24,93,29-06-22_17-18-58
1,40,21-07-22_18-27-27
2,40,21-07-22_18-27-27
3,40,21-07-22_18-27-27
4,40,21-07-22_18-27-27
5,41,21-07-22_18-27-27
6,41,21-07-22_18-27-27
7,64,21-07-22_18-27-27
8,99,21-07-22_18-27-27
9,40,21-07-22_18-27-27
10,72,21-07-22_18-27-27
